"Российская Федерация, г, Москва ДТП - всего (15,09,2017-29,09,2017)";"";"";"";"";"";"";"";"";"";"";"";
"106,0";"26,09,2017";"Ростокино";"Столкновение";"";"0";"0";"г Москва ул Сельскохозяйственная 19";"0,0";"1,0";"2,0";"2,0";
"107,0";"26,09,2017";"Тимирязевский";"Падение пассажира";"";"0";"0";"г Москва ул Тимирязевская 4 12";"0,0";"1,0";"1,0";"2,0";
"108,0";"26,09,2017";"Донской";"Наезд на пешехода";"";"0";"0";"г Москва ул Вавилова 5 К1";"0,0";"1,0";"1,0";"2,0";
"109,0";"26,09,2017";"Московский";"Наезд на пешехода";"";"0";"0";"  ";"0,0";"1,0";"1,0";"2,0";
"110,0";"26,09,2017";"Царицыно";"Столкновение";"";"0";"0";"г Москва ул Кантемировская 53";"0,0";"1,0";"2,0";"2,0";
"111,0";"26,09,2017";"Донской";"Наезд на стоящее ТС";"";"0";"0";"г Москва пр-кт Ленинский 33";"0,0";"1,0";"2,0";"2,0";
"112,0";"26,09,2017";"Бутырский";"Столкновение";"";"0";"0";"г Москва ул Яблочкова 4";"0,0";"1,0";"3,0";"3,0";
"113,0";"26,09,2017";"Хамовники";"Падение пассажира";"";"0";"0";"г Москва пр-кт Комсомольский 45";"0,0";"1,0";"1,0";"2,0";
"114,0";"26,09,2017";"Можайский";"Наезд на велосипедиста";"";"0";"0";"г Москва ш Сколковское 100";"0,0";"1,0";"2,0";"2,0";
"115,0";"26,09,2017";"Академический";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт 60-летия Октября 29 корп,1";"0,0";"1,0";"1,0";"2,0";
"116,0";"26,09,2017";"Филимонковское";"Опрокидывание";"";"0";"0";"  ";"0,0";"1,0";"1,0";"1,0";
"117,0";"26,09,2017";"Силино";"Столкновение";"";"0";"0";"г Зеленоград пр-кт Панфиловский 24";"0,0";"2,0";"2,0";"3,0";
"118,0";"25,09,2017";"Кунцево";"Столкновение";"";"0";"0";"г Москва ул Молодогвардейская 15 14";"0,0";"1,0";"2,0";"3,0";
"119,0";"25,09,2017";"Проспект Вернадского";"Наезд на велосипедиста";"";"0";"0";"г Москва пр-кт Вернадского 70а";"0,0";"1,0";"2,0";"2,0";
"120,0";"25,09,2017";"Гольяново";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"100";"800";"г Москва  ";"0,0";"1,0";"3,0";"3,0";
"121,0";"25,09,2017";"Кунцево";"Наезд на пешехода";"";"0";"0";"г Москва ул Молодогвардейская 12";"0,0";"1,0";"1,0";"2,0";
"122,0";"25,09,2017";"Чертаново Южное";"Столкновение";"";"0";"0";"г Москва ул Россошанская 1";"0,0";"1,0";"2,0";"2,0";
"123,0";"25,09,2017";"Ново-Переделкино";"Наезд на пешехода";"";"0";"0";"г Москва ул Новоорловская 16";"0,0";"1,0";"1,0";"2,0";
"124,0";"25,09,2017";"Северное Измайлово";"Столкновение";"";"0";"0";"г Москва ш Щёлковское 28 56";"0,0";"1,0";"2,0";"2,0";
"125,0";"25,09,2017";"Дорогомилово";"Столкновение";"";"0";"0";"г Москва наб Бережковская 14";"0,0";"1,0";"2,0";"2,0";
"126,0";"25,09,2017";"Северное Тушино";"Наезд на пешехода";"";"0";"0";"г Москва ул Фомичёвой 8";"0,0";"1,0";"1,0";"2,0";
"127,0";"25,09,2017";"Хорошево-Мневники";"Наезд на стоящее ТС";"";"0";"0";"г Москва проезд Силикатный 2-й 8";"0,0";"1,0";"2,0";"3,0";
"128,0";"25,09,2017";"Внуковское";"Наезд на стоящее ТС";"";"0";"0";"д Пыхтино  ";"1,0";"0,0";"2,0";"2,0";
"129,0";"25,09,2017";"Люблино";"Наезд на пешехода";"";"0";"0";"г Москва ул Люблинская 61";"0,0";"1,0";"1,0";"2,0";
